Epoch:1, Train Loss:0.6637182423854754, Vali Loss:0.47109695909471355, mse:0.4671657991630382, mae:0.5078440342168106
Epoch:2, Train Loss:0.6298428535775685, Vali Loss:0.45824241921685965, mse:0.5051616504766638, mae:0.5260973601715169
Epoch:3, Train Loss:0.6665479289835912, Vali Loss:0.43447321902295, mse:0.5191466185246881, mae:0.5437967440931597
Epoch:4, Train Loss:0.6761683503437546, Vali Loss:0.4322398745405148, mse:0.5202827779097465, mae:0.5453903147794097
Epoch:5, Train Loss:0.6781130085196772, Vali Loss:0.430612143120467, mse:0.5270818563104198, mae:0.5447896858590229
Epoch:6, Train Loss:0.6780700766558387, Vali Loss:0.4409639374839181, mse:0.5168457958742837, mae:0.5490554773605594
Epoch:7, Train Loss:0.6769271299792928, Vali Loss:0.4350793322250074, mse:0.5372674566101735, mae:0.5452950205653906
Epoch:8, Train Loss:0.675804329326995, Vali Loss:0.4343566986496653, mse:0.5385135048391106, mae:0.5467636651211532
Epoch:9, Train Loss:0.675511320812631, Vali Loss:0.4417149974270929, mse:0.5280406144882822, mae:0.5473702851787349
Epoch:10, Train Loss:0.6754962730701024, Vali Loss:0.4336617488733854, mse:0.521967616817853, mae:0.5429727086083633
Epoch:11, Train Loss:0.6716243633486475, Vali Loss:0.46009792352912043, mse:0.5588154064569727, mae:0.5529144916718252
Epoch:12, Train Loss:0.6696071262047454, Vali Loss:0.4441642337359851, mse:0.5122980919283614, mae:0.5493974062901373
Epoch:13, Train Loss:0.6664229484559782, Vali Loss:0.44344668909734475, mse:0.5263953238255649, mae:0.5437811524998919
Epoch:14, Train Loss:0.6649853585788781, Vali Loss:0.43952982960886855, mse:0.5218364458256967, mae:0.5436560127048571
Epoch:15, Train Loss:0.6620798782849773, Vali Loss:0.4389182549065061, mse:0.5319885378181238, mae:0.5416281089952616
Epoch:16, Train Loss:0.6617387466879008, Vali Loss:0.4368003496161193, mse:0.5247890582682443, mae:0.5431946066390967
Epoch:17, Train Loss:0.6615388897160863, Vali Loss:0.4359478086163992, mse:0.5243199620630905, mae:0.5427524950877528
Epoch:18, Train Loss:0.6603482744710517, Vali Loss:0.4358812773863843, mse:0.5163977504120356, mae:0.5387925631845387
Epoch:19, Train Loss:0.6587728533154004, Vali Loss:0.43530904776535567, mse:0.5169855086263443, mae:0.5391651725518369
Epoch:20, Train Loss:0.6581324168688802, Vali Loss:0.43535998273476645, mse:0.5172989624726507, mae:0.5394408175216936
