Epoch:1, Train Loss:0.6757401154910478, Vali Loss:0.46448243542503037, mse:0.46088782814113755, mae:0.51714946442745
Epoch:2, Train Loss:0.8796108516945689, Vali Loss:0.48968861025613314, mse:0.503194932549513, mae:0.5614322215388311
Epoch:3, Train Loss:0.6916665725230285, Vali Loss:0.4546236219511231, mse:0.5592748507178414, mae:0.549351713663646
Epoch:4, Train Loss:0.7068004230510768, Vali Loss:0.4491420803103259, mse:0.5158957793294653, mae:0.5551785891788585
Epoch:5, Train Loss:1.3962219017887822, Vali Loss:0.4576621515430043, mse:0.5175020484891328, mae:0.5550550301863908
Epoch:6, Train Loss:0.7107421726375431, Vali Loss:0.43814210168446854, mse:0.5375332260182318, mae:0.5456583578592149
Epoch:7, Train Loss:0.7041876853839365, Vali Loss:0.44494486031427183, mse:0.550888967974477, mae:0.5476752756877201
Epoch:8, Train Loss:0.7085503095377355, Vali Loss:0.4765596187861502, mse:0.5834060054322461, mae:0.5661857562731499
Epoch:9, Train Loss:0.7077469955459376, Vali Loss:0.4574599938851775, mse:0.5297750752619425, mae:0.5411590870783151
Epoch:10, Train Loss:0.6988575061420341, Vali Loss:0.46229088209621316, mse:0.5793555345088156, mae:0.5589283833140942
Epoch:11, Train Loss:0.6991160577104353, Vali Loss:0.44502058486927415, mse:0.5208366068763328, mae:0.5467782565436073
Epoch:12, Train Loss:0.6965812810387373, Vali Loss:0.4428928784524758, mse:0.5377395535061988, mae:0.5507595764177147
Epoch:13, Train Loss:0.6948364496231079, Vali Loss:0.439369825227078, mse:0.5335457383646308, mae:0.5446885290999557
Epoch:14, Train Loss:0.6921562438108483, Vali Loss:0.4361140264020995, mse:0.5314419776131617, mae:0.5482143921969093
Epoch:15, Train Loss:0.6869370776448046, Vali Loss:0.4399891591818869, mse:0.5333469495020597, mae:0.5435789274312904
Epoch:16, Train Loss:0.6822387877886282, Vali Loss:0.44142213429209803, mse:0.5392428820204234, mae:0.5464775369058703
Epoch:17, Train Loss:0.6803150212057004, Vali Loss:0.44071966430427306, mse:0.5192535056179894, mae:0.5408577827701919
Epoch:18, Train Loss:0.6738360287307145, Vali Loss:0.45272878911821585, mse:0.5480222364683053, mae:0.5488845989995889
Epoch:19, Train Loss:0.670212302955493, Vali Loss:0.4466250939186654, mse:0.53083273319954, mae:0.5435541336311498
Epoch:20, Train Loss:0.668554984140927, Vali Loss:0.44684272019188254, mse:0.5282754186414634, mae:0.5430979068939373
