Epoch:1, Train Loss:0.6871257759902158, Vali Loss:0.5110342490839018, mse:0.4308530129274684, mae:0.4921714851684938
Epoch:2, Train Loss:0.6359998153771466, Vali Loss:0.6809383946062517, mse:0.5522968636555858, mae:0.6109673858698562
Epoch:3, Train Loss:4.180314841975084, Vali Loss:0.6082084521893282, mse:0.6581041331655372, mae:0.6281079725475511
Epoch:4, Train Loss:0.8570050670429763, Vali Loss:0.5545663350281196, mse:0.6349118883355964, mae:0.6161536891274503
Epoch:5, Train Loss:0.7452970399909656, Vali Loss:0.469494906005616, mse:0.5223662571657327, mae:0.5542529965098076
Epoch:6, Train Loss:1.5743614495041882, Vali Loss:0.5888055224844585, mse:0.6545744223724702, mae:0.6248980926123456
Epoch:7, Train Loss:0.7440913919615842, Vali Loss:0.4946012236955824, mse:0.5299653918634682, mae:0.5710071434275569
Epoch:8, Train Loss:0.7462849016855603, Vali Loss:0.5317248309294752, mse:0.5458893600707683, mae:0.5882415012587036
Epoch:9, Train Loss:0.7576103790689577, Vali Loss:0.4731399828347695, mse:0.5355393543859038, mae:0.5634767702632697
Epoch:10, Train Loss:0.742669486818526, Vali Loss:0.44350981207568796, mse:0.5389381376330122, mae:0.5495575851473574
Epoch:11, Train Loss:0.7418335053119582, Vali Loss:0.4597022561766985, mse:0.5319816308350642, mae:0.5575226832216031
