Epoch:1, Train Loss:0.6824625068228408, Vali Loss:0.4776035433164052, mse:0.4679024531201364, mae:0.506399943606458
Epoch:2, Train Loss:0.6375798154076309, Vali Loss:0.49714816619238, mse:0.4642920048176267, mae:0.5071330722943644
Epoch:3, Train Loss:1.7841386461523336, Vali Loss:0.5560798022005785, mse:0.6256905372829011, mae:0.6074757195452106
Epoch:4, Train Loss:0.7577417052411414, Vali Loss:0.47647223070160144, mse:0.5229714926066765, mae:0.5682308916698828
Epoch:5, Train Loss:0.6981068235602582, Vali Loss:0.4384803254753697, mse:0.536682532830425, mae:0.5465377509141358
Epoch:6, Train Loss:0.7045003865335779, Vali Loss:0.43961413830449575, mse:0.5269822155247295, mae:0.5490887362301071
Epoch:7, Train Loss:0.9131653998689881, Vali Loss:0.4575739920899929, mse:0.5610900670507593, mae:0.5527009963379982
Epoch:8, Train Loss:0.6992858209614409, Vali Loss:0.4387710826717784, mse:0.5329979108428913, mae:0.5499046888620218
Epoch:9, Train Loss:0.7046591254023763, Vali Loss:0.443349573839015, mse:0.5239825335104958, mae:0.5487047009448581
Epoch:10, Train Loss:0.7053235996521471, Vali Loss:0.43764853650345326, mse:0.5177647611953179, mae:0.5465841874410616
Epoch:11, Train Loss:0.7042981353673068, Vali Loss:0.4390224630484172, mse:0.5178614544690908, mae:0.5478458097117527
Epoch:12, Train Loss:0.7001365729077185, Vali Loss:0.43510839910075727, mse:0.5299663822575708, mae:0.5467476076054796
Epoch:13, Train Loss:0.6979256914807604, Vali Loss:0.4362849418912299, mse:0.540806844312628, mae:0.5464011195907804
Epoch:14, Train Loss:0.6943316736889239, Vali Loss:0.43497074943407504, mse:0.5290035604821327, mae:0.5471436752650504
Epoch:15, Train Loss:0.6908982097660235, Vali Loss:0.43443993058945907, mse:0.5404700435954799, mae:0.5472999912834613
