Epoch:1, Train Loss:0.6709366602446463, Vali Loss:0.44609587444230187, mse:0.4901970636674038, mae:0.5349269473107061
Epoch:2, Train Loss:0.7922841958632496, Vali Loss:0.46827866797380824, mse:0.4927401753299147, mae:0.5388633406190114
Epoch:3, Train Loss:0.6781866680381471, Vali Loss:0.47091763167536177, mse:0.5011805698937066, mae:0.5345192307031879
Epoch:4, Train Loss:0.6911762350344259, Vali Loss:0.5930762174787765, mse:0.5564176159884746, mae:0.5629263235360523
Epoch:5, Train Loss:0.6916817283917889, Vali Loss:0.45981819813599994, mse:0.5090561186607544, mae:0.5371706612651872
Epoch:6, Train Loss:0.698718227835887, Vali Loss:0.469125692639716, mse:0.490452953531607, mae:0.5347974379068223
Epoch:7, Train Loss:0.694277624827369, Vali Loss:0.4738065121207049, mse:0.5331948896256389, mae:0.5448017056213221
Epoch:8, Train Loss:0.6930645378323786, Vali Loss:0.4791457512677407, mse:0.494479524289371, mae:0.5398917291139331
Epoch:9, Train Loss:0.69004599388986, Vali Loss:0.4362221660304236, mse:0.5260553014569124, mae:0.5492013011684763
Epoch:10, Train Loss:0.6884178023833734, Vali Loss:0.4460696908548094, mse:0.5043218173521841, mae:0.5351969297174538
Epoch:11, Train Loss:0.684556165824131, Vali Loss:0.46140675125708436, mse:0.49516774308389033, mae:0.5348244109930836
Epoch:12, Train Loss:0.6819080161915639, Vali Loss:0.44150005886007077, mse:0.5100821811166183, mae:0.5377721990867753
Epoch:13, Train Loss:0.6771905936756912, Vali Loss:0.4716856425710178, mse:0.5152728343882955, mae:0.5374399373986732
Epoch:14, Train Loss:0.674518773042647, Vali Loss:0.45174092732006876, mse:0.4947669960984908, mae:0.5329653792709947
Epoch:15, Train Loss:0.6691333873594847, Vali Loss:0.4527128183924682, mse:0.49657651318985724, mae:0.5336264731170975
